dt,AverageTemperature,AverageTemperatureUncertainty,Country
1845-03-01,19.05,2.33,Algeria
1845-04-01,21.945,1.641,Algeria
1845-05-01,26.635,1.668,Algeria
1845-06-01,30.612,1.679,Algeria
1845-07-01,33.489,1.56,Algeria
1845-08-01,32.773,1.488,Algeria
1845-09-01,29.216,1.708,Algeria
1845-10-01,22.907,1.692,Algeria
1845-11-01,17.353,1.538,Algeria
1845-12-01,11.211,2.011,Algeria
1846-01-01,12.786,1.91,Algeria
1846-02-01,15.096,2.071,Algeria
1846-03-01,19.612,1.693,Algeria
1846-04-01,21.958,1.938,Algeria
1846-05-01,27.403,1.848,Algeria
1846-06-01,32.596,1.911,Algeria
1846-07-01,34.875,1.828,Algeria
1846-08-01,33.302,1.566,Algeria
1846-09-01,29.069,1.654,Algeria
1846-10-01,22.189,1.54,Algeria
1846-11-01,17.501,1.845,Algeria
1846-12-01,12.341,1.88,Algeria
1847-01-01,13.088,3.586,Algeria
1847-02-01,14.338,1.827,Algeria
1847-03-01,17.504,1.728,Algeria
1847-04-01,21.968,1.586,Algeria
1847-05-01,27.461,1.521,Algeria
1847-06-01,31.097,1.581,Algeria
1847-07-01,33.477,1.693,Algeria
1847-08-01,32.233,1.621,Algeria
1847-09-01,28.984,1.503,Algeria
1847-10-01,23.518,1.505,Algeria
1847-11-01,17.012,1.529,Algeria
1847-12-01,11.483,2.039,Algeria
1848-01-01,10.059,1.688,Algeria
1848-02-01,14.45,1.979,Algeria
1848-03-01,17.419,1.61,Algeria
1848-04-01,21.99,1.671,Algeria
1848-05-01,26.492,1.731,Algeria
1848-06-01,31.384,1.975,Algeria
1848-07-01,33.763,1.84,Algeria
1848-08-01,32.804,1.785,Algeria
1848-09-01,28.726,1.577,Algeria
1848-10-01,22.951,1.619,Algeria
1848-11-01,16.432,1.466,Algeria
1848-12-01,12.131,1.633,Algeria
1849-01-01,12.019,1.726,Algeria
1849-02-01,14.447,1.593,Algeria
1849-03-01,18.362,1.932,Algeria
1849-04-01,21.187,1.968,Algeria
1849-05-01,26.623,1.709,Algeria
1849-06-01,31.825,1.835,Algeria
1849-07-01,34.128,1.548,Algeria
1849-08-01,32.736,1.675,Algeria
1849-09-01,29.061,1.561,Algeria
1849-10-01,24.019,1.634,Algeria
1849-11-01,16.853,1.587,Algeria
1849-12-01,11.191,1.596,Algeria
1850-01-01,10.604,1.733,Algeria
1850-02-01,14.819,1.733,Algeria
1850-03-01,18.362,2.526,Algeria
1850-04-01,22.717,1.856,Algeria
1850-05-01,26.391,1.404,Algeria
1850-06-01,31.143,1.443,Algeria
1850-07-01,33.656,1.471,Algeria
1850-08-01,33,1.509,Algeria
1850-09-01,28.88,1.693,Algeria
1850-10-01,22.708,1.569,Algeria
1850-11-01,16.72,1.746,Algeria
1850-12-01,12.048,1.808,Algeria
1851-01-01,11.989,1.36,Algeria
1851-02-01,14.118,1.428,Algeria
1851-03-01,17.496,1.617,Algeria
1851-04-01,22.469,1.867,Algeria
1851-05-01,26.917,1.485,Algeria
1851-06-01,31.546,1.66,Algeria
1851-07-01,33.861,1.71,Algeria
1851-08-01,33.035,1.732,Algeria
1851-09-01,29.067,1.577,Algeria
1851-10-01,23.89,2.254,Algeria
1851-11-01,15.66,1.5,Algeria
1851-12-01,12.752,2.51,Algeria
1852-01-01,12.109,2.15,Algeria
1852-02-01,13.705,1.676,Algeria
1852-03-01,17.618,1.48,Algeria
1852-04-01,22.216,1.761,Algeria
1852-05-01,27.109,1.496,Algeria
1852-06-01,30.961,1.533,Algeria
1852-07-01,33.111,1.766,Algeria
1852-08-01,32.22,1.639,Algeria
1852-09-01,29.232,1.54,Algeria
1852-10-01,24.551,1.506,Algeria
1852-11-01,18.062,1.683,Algeria
1852-12-01,13.385,1.779,Algeria
1853-01-01,12.188,1.65,Algeria
1853-02-01,13.414,1.507,Algeria
1853-03-01,17.599,1.784,Algeria
1853-04-01,22.742,1.577,Algeria
1853-05-01,27.041,1.453,Algeria
1853-06-01,30.461,1.588,Algeria
1853-07-01,33.473,1.52,Algeria
1853-08-01,33.169,1.608,Algeria
1853-09-01,29.629,1.483,Algeria
1853-10-01,23.667,1.542,Algeria
1853-11-01,17.272,2.012,Algeria
1853-12-01,12.592,1.64,Algeria
1854-01-01,10.962,1.822,Algeria
1854-02-01,13.43,1.604,Algeria
1854-03-01,17.774,1.46,Algeria
1854-04-01,22.261,1.465,Algeria
1854-05-01,27.171,1.422,Algeria
1854-06-01,30.804,1.803,Algeria
1854-07-01,33.022,1.708,Algeria
1854-08-01,32.653,1.671,Algeria
1854-09-01,28.919,1.591,Algeria
1854-10-01,23.687,1.691,Algeria
1854-11-01,16.548,1.576,Algeria
1854-12-01,12.543,2.352,Algeria
1855-01-01,11.997,2.202,Algeria
1855-02-01,16.245,1.65,Algeria
1855-03-01,18.297,1.415,Algeria
1855-04-01,22.399,1.737,Algeria
1855-05-01,26.723,1.576,Algeria
1855-06-01,29.344,1.411,Algeria
1855-07-01,32.897,1.617,Algeria
1855-08-01,32.009,1.571,Algeria
1855-09-01,28.874,1.393,Algeria
1855-10-01,23.443,1.909,Algeria
1855-11-01,17.364,1.572,Algeria
1855-12-01,12.329,2.484,Algeria
1856-01-01,13.273,1.539,Algeria
1856-02-01,14.194,2.135,Algeria
1856-03-01,18.641,1.272,Algeria
1856-04-01,22.243,1.26,Algeria
1856-05-01,27.388,1.753,Algeria
1856-06-01,30.448,2.062,Algeria
1856-07-01,32.697,1.482,Algeria
1856-08-01,31.535,1.485,Algeria
1856-09-01,28.572,1.513,Algeria
1856-10-01,22.886,1.422,Algeria
1856-11-01,16.478,1.521,Algeria
1856-12-01,12.605,1.714,Algeria
1857-01-01,10.592,1.594,Algeria
1857-02-01,14.7,1.766,Algeria
1857-03-01,18.059,1.418,Algeria
1857-04-01,21.568,1.233,Algeria
1857-05-01,25.683,1.362,Algeria
1857-06-01,29.838,1.429,Algeria
1857-07-01,32.189,1.593,Algeria
1857-08-01,31.8,1.326,Algeria
1857-09-01,29.232,1.306,Algeria
1857-10-01,23.557,1.372,Algeria
1857-11-01,18.349,1.96,Algeria
1857-12-01,12.912,1.472,Algeria
1858-01-01,12.042,1.851,Algeria
1858-02-01,14.732,1.261,Algeria
1858-03-01,18.295,1.427,Algeria
1858-04-01,23.07,1.445,Algeria
1858-05-01,26.745,1.245,Algeria
1858-06-01,31.04,1.553,Algeria
1858-07-01,32.47,1.482,Algeria
1858-08-01,32.645,1.549,Algeria
1858-09-01,29.407,1.34,Algeria
1858-10-01,24.194,1.444,Algeria
1858-11-01,19.521,1.688,Algeria
1858-12-01,12.227,1.523,Algeria
1859-01-01,11.163,1.25,Algeria
1859-02-01,13.701,1.337,Algeria
1859-03-01,18.085,1.384,Algeria
1859-04-01,24.02,1.276,Algeria
1859-05-01,27.79,1.574,Algeria
1859-06-01,30.514,1.306,Algeria
1859-07-01,32.585,1.309,Algeria
1859-08-01,32.179,1.268,Algeria
1859-09-01,28.734,1.32,Algeria
1859-10-01,23.832,1.469,Algeria
1859-11-01,17.365,1.741,Algeria
1859-12-01,11.998,1.887,Algeria
1860-01-01,12.258,1.398,Algeria
1860-02-01,12.907,1.338,Algeria
1860-03-01,17.267,1.839,Algeria
1860-04-01,21.844,1.408,Algeria
1860-05-01,26.755,1.34,Algeria
1860-06-01,31.582,1.256,Algeria
1860-07-01,32.712,1.296,Algeria
1860-08-01,32.302,1.514,Algeria
1860-09-01,28.86,1.22,Algeria
1860-10-01,23.121,1.316,Algeria
1860-11-01,17.62,1.743,Algeria
1860-12-01,12.698,1.579,Algeria
1861-01-01,10.627,1.877,Algeria
1861-02-01,14.153,1.523,Algeria
1861-03-01,18.281,1.159,Algeria
1861-04-01,22.014,1.49,Algeria
1861-05-01,26.091,1.53,Algeria
1861-06-01,30.894,1.781,Algeria
1861-07-01,32.587,1.323,Algeria
1861-08-01,31.771,1.591,Algeria
1861-09-01,28.594,1.477,Algeria
1861-10-01,23.935,1.598,Algeria
1861-11-01,18.48,1.923,Algeria
1861-12-01,13.294,1.833,Algeria
1862-01-01,11.55,1.514,Algeria
1862-02-01,14.424,1.512,Algeria
1862-03-01,19.063,1.339,Algeria
1862-04-01,22.915,1.561,Algeria
1862-05-01,28.007,1.562,Algeria
1862-06-01,31.205,1.448,Algeria
1862-07-01,33.165,1.393,Algeria
1862-08-01,32.384,1.412,Algeria
1862-09-01,28.111,1.302,Algeria
1862-10-01,23.516,1.425,Algeria
1862-11-01,16.571,1.53,Algeria
1862-12-01,11.927,2.167,Algeria
1863-01-01,12.65,2.12,Algeria
1863-02-01,13.884,2.258,Algeria
1863-03-01,17.865,1.309,Algeria
1863-04-01,22.075,1.698,Algeria
1863-05-01,26.589,1.55,Algeria
1863-06-01,31.139,1.787,Algeria
1863-07-01,33.023,1.726,Algeria
1863-08-01,31.902,1.521,Algeria
1863-09-01,28.537,1.398,Algeria
1863-10-01,23.236,1.548,Algeria
1863-11-01,17.188,1.934,Algeria
1863-12-01,11.206,2.035,Algeria
1864-01-01,11.249,1.664,Algeria
1864-02-01,14.409,1.75,Algeria
1864-03-01,19.016,1.63,Algeria
1864-04-01,22.215,1.527,Algeria
1864-05-01,27.326,1.469,Algeria
1864-06-01,32.501,1.705,Algeria
1864-07-01,34.271,1.742,Algeria
1864-08-01,33.008,1.44,Algeria
1864-09-01,29.152,1.382,Algeria
1864-10-01,23.972,1.433,Algeria
1864-11-01,16.977,1.605,Algeria
1864-12-01,12.051,1.745,Algeria
1865-01-01,12.759,1.423,Algeria
1865-02-01,13.937,1.526,Algeria
1865-03-01,17.409,1.392,Algeria
1865-04-01,21.763,1.677,Algeria
1865-05-01,27.28,1.658,Algeria
1865-06-01,31.232,1.496,Algeria
1865-07-01,33.509,1.298,Algeria
1865-08-01,33.042,1.331,Algeria
1865-09-01,29.457,1.377,Algeria
1865-10-01,24.134,1.414,Algeria
1865-11-01,17.835,1.459,Algeria
1865-12-01,11.829,1.731,Algeria
1866-01-01,12.204,1.398,Algeria
1866-02-01,14.982,1.439,Algeria
1866-03-01,18.284,1.494,Algeria
1866-04-01,22.571,1.419,Algeria
1866-05-01,26.809,1.573,Algeria
1866-06-01,30.708,1.472,Algeria
1866-07-01,33.425,1.55,Algeria
1866-08-01,32.404,1.564,Algeria
1866-09-01,29.187,1.369,Algeria
1866-10-01,23.298,1.337,Algeria
1866-11-01,17.827,1.57,Algeria
1866-12-01,13.41,1.812,Algeria
1867-01-01,12.702,1.566,Algeria
1867-02-01,14.67,1.411,Algeria
1867-03-01,19.98,1.608,Algeria
1867-04-01,23.455,1.498,Algeria
1867-05-01,27.807,1.428,Algeria
1867-06-01,31.654,1.347,Algeria
1867-07-01,33.567,1.375,Algeria
1867-08-01,32.797,1.387,Algeria
1867-09-01,29.419,1.38,Algeria
1867-10-01,23.899,1.44,Algeria
1867-11-01,18.284,2.263,Algeria
1867-12-01,11.969,2.187,Algeria
1868-01-01,11.537,1.375,Algeria
1868-02-01,13.381,1.519,Algeria
1868-03-01,17.737,1.4,Algeria
1868-04-01,22.237,1.568,Algeria
1868-05-01,27.106,1.541,Algeria
1868-06-01,31.028,1.344,Algeria
1868-07-01,33.32,1.279,Algeria
1868-08-01,32.796,1.353,Algeria
1868-09-01,28.942,1.359,Algeria
1868-10-01,23.078,1.543,Algeria
1868-11-01,16.225,1.425,Algeria
1868-12-01,12.696,1.322,Algeria
1869-01-01,11.261,1.43,Algeria
1869-02-01,14.597,1.539,Algeria
1869-03-01,17.602,1.451,Algeria
1869-04-01,22.007,1.792,Algeria
1869-05-01,27.578,1.343,Algeria
1869-06-01,31.762,1.897,Algeria
1869-07-01,33.661,1.515,Algeria
1869-08-01,32.862,1.517,Algeria
1869-09-01,30.107,1.316,Algeria
1869-10-01,23.609,1.318,Algeria
1869-11-01,16.587,1.311,Algeria
1869-12-01,11.667,1.488,Algeria
1870-01-01,11.139,1.518,Algeria
1870-02-01,14.389,1.55,Algeria
1870-03-01,18.107,1.49,Algeria
1870-04-01,21.691,1.442,Algeria
1870-05-01,27.608,1.534,Algeria
1870-06-01,31.896,1.454,Algeria
1870-07-01,33.75,1.353,Algeria
1870-08-01,32.793,1.306,Algeria
1870-09-01,29.5,1.368,Algeria
1870-10-01,23.868,1.642,Algeria
1870-11-01,17.334,1.531,Algeria
1870-12-01,12.332,1.696,Algeria
1871-01-01,10.287,1.73,Algeria
1871-02-01,13.24,2.064,Algeria
1871-03-01,17.851,1.73,Algeria
1871-04-01,23.142,1.533,Algeria
1871-05-01,27.304,1.422,Algeria
1871-06-01,30.955,1.612,Algeria
1871-07-01,33.938,1.453,Algeria
1871-08-01,32.858,1.436,Algeria
1871-09-01,29.591,1.408,Algeria
1871-10-01,24.835,1.416,Algeria
1871-11-01,16.845,1.458,Algeria
1871-12-01,12.126,1.425,Algeria
1872-01-01,11.363,2.103,Algeria
1872-02-01,14.246,1.899,Algeria
1872-03-01,18.618,1.51,Algeria
1872-04-01,22.432,1.93,Algeria
1872-05-01,27.355,1.935,Algeria
1872-06-01,31.474,1.446,Algeria
1872-07-01,33.688,1.452,Algeria
1872-08-01,32.991,1.422,Algeria
1872-09-01,29.52,1.483,Algeria
1872-10-01,23.399,1.464,Algeria
1872-11-01,16.801,1.555,Algeria
1872-12-01,11.657,2.156,Algeria
1873-01-01,11.634,1.885,Algeria
1873-02-01,13.588,1.99,Algeria
1873-03-01,17.783,2.006,Algeria
1873-04-01,22.516,1.972,Algeria
1873-05-01,26.861,1.308,Algeria
1873-06-01,31.314,1.579,Algeria
1873-07-01,33.901,1.215,Algeria
1873-08-01,33.138,1.095,Algeria
1873-09-01,28.727,1.347,Algeria
1873-10-01,23.532,1.262,Algeria
1873-11-01,17.305,1.252,Algeria
1873-12-01,13.233,2.009,Algeria
1874-01-01,11.88,1.806,Algeria
1874-02-01,14.121,1.615,Algeria
1874-03-01,17.084,1.503,Algeria
1874-04-01,22.217,1.217,Algeria
1874-05-01,26.549,1.273,Algeria
1874-06-01,32.18,1.357,Algeria
1874-07-01,33.742,1.249,Algeria
1874-08-01,32.403,1.216,Algeria
1874-09-01,29.649,1.205,Algeria
1874-10-01,24.041,1.255,Algeria
1874-11-01,17.109,1.292,Algeria
1874-12-01,11.704,1.51,Algeria
1875-01-01,11.237,1.261,Algeria
1875-02-01,13.908,1.309,Algeria
1875-03-01,17.957,1.304,Algeria
1875-04-01,21.7,1.262,Algeria
1875-05-01,27.869,1.232,Algeria
1875-06-01,30.327,2.084,Algeria
1875-07-01,33.131,1.309,Algeria
1875-08-01,32.841,1.156,Algeria
1875-09-01,29.584,1.113,Algeria
1875-10-01,23.124,1.215,Algeria
1875-11-01,16.902,1.12,Algeria
1875-12-01,12.079,2.026,Algeria
1876-01-01,11.317,1.299,Algeria
1876-02-01,14.261,1.118,Algeria
1876-03-01,18.428,1.582,Algeria
1876-04-01,22.261,1.311,Algeria
1876-05-01,27.194,1.283,Algeria
1876-06-01,30.507,1.511,Algeria
1876-07-01,33.507,1.471,Algeria
1876-08-01,32.999,1.299,Algeria
1876-09-01,29.844,1.44,Algeria
1876-10-01,23.937,1.301,Algeria
1876-11-01,17.728,1.258,Algeria
1876-12-01,12.246,1.64,Algeria
1877-01-01,11.619,1.595,Algeria
1877-02-01,14.034,1.468,Algeria
1877-03-01,17.963,1.262,Algeria
1877-04-01,22.979,1.814,Algeria
1877-05-01,27.408,1.593,Algeria
1877-06-01,31.703,1.443,Algeria
1877-07-01,34.198,1.465,Algeria
1877-08-01,33.31,1.226,Algeria
1877-09-01,29.945,1.265,Algeria
1877-10-01,22.987,1.295,Algeria
1877-11-01,17.774,1.432,Algeria
1877-12-01,11.618,2.163,Algeria
1878-01-01,10.643,1.507,Algeria
1878-02-01,14.237,1.334,Algeria
1878-03-01,18.403,1.372,Algeria
1878-04-01,23.422,1.371,Algeria
1878-05-01,28.442,1.09,Algeria
1878-06-01,33.192,1.267,Algeria
1878-07-01,34.295,1.25,Algeria
1878-08-01,34.011,1.064,Algeria
1878-09-01,29.254,1.264,Algeria
1878-10-01,24.864,1.074,Algeria
1878-11-01,17.645,1.411,Algeria
1878-12-01,14.17,1.71,Algeria
1879-01-01,12.624,1.28,Algeria
1879-02-01,15.053,1.344,Algeria
1879-03-01,17.259,1.086,Algeria
1879-04-01,21.484,1.52,Algeria
1879-05-01,25.931,1.515,Algeria
1879-06-01,32.683,1.204,Algeria
1879-07-01,32.642,1.306,Algeria
1879-08-01,32.157,1.684,Algeria
1879-09-01,28.631,1.088,Algeria
1879-10-01,23.508,1.046,Algeria
1879-11-01,18.449,1.688,Algeria
1879-12-01,11.831,1.4,Algeria
1880-01-01,10.82,1.626,Algeria
1880-02-01,14.103,1.136,Algeria
1880-03-01,17.645,1.173,Algeria
1880-04-01,21.723,1.472,Algeria
1880-05-01,26.118,1.16,Algeria
1880-06-01,30.178,1.33,Algeria
1880-07-01,33.862,1.281,Algeria
1880-08-01,32.992,1.291,Algeria
1880-09-01,29.633,1.303,Algeria
1880-10-01,23.901,1.48,Algeria
1880-11-01,17.729,1.847,Algeria
1880-12-01,12.424,1.599,Algeria
1881-01-01,15.01,1.325,Algeria
1881-02-01,15.616,1.388,Algeria
1881-03-01,20.135,1.169,Algeria
1881-04-01,23.661,1.166,Algeria
1881-05-01,26.534,1.4,Algeria
1881-06-01,30.782,1.313,Algeria
1881-07-01,33.984,1.405,Algeria
1881-08-01,33.277,1.39,Algeria
1881-09-01,30.559,1.236,Algeria
1881-10-01,23.41,1.126,Algeria
1881-11-01,16.549,1.329,Algeria
1881-12-01,12.023,1.394,Algeria
1882-01-01,11.52,1.573,Algeria
1882-02-01,13.818,1.638,Algeria
1882-03-01,17.013,1.642,Algeria
1882-04-01,21.966,1.076,Algeria
1882-05-01,27.905,1.4,Algeria
1882-06-01,31.977,1.186,Algeria
1882-07-01,33.403,1.353,Algeria
1882-08-01,32.29,1.184,Algeria
1882-09-01,28.228,1.136,Algeria
1882-10-01,24.164,1.116,Algeria
1882-11-01,16.987,1.204,Algeria
1882-12-01,11.764,1.126,Algeria
1883-01-01,11.871,1.197,Algeria
1883-02-01,14.222,1.499,Algeria
1883-03-01,17.844,1.347,Algeria
1883-04-01,21.923,1.138,Algeria
1883-05-01,27.017,1.109,Algeria
1883-06-01,31.123,1.637,Algeria
1883-07-01,33.568,1.184,Algeria
1883-08-01,31.788,1.058,Algeria
1883-09-01,29.012,1.065,Algeria
1883-10-01,22.646,1.129,Algeria
1883-11-01,16.639,1.064,Algeria
1883-12-01,11.998,1.312,Algeria
1884-01-01,11.197,1.33,Algeria
1884-02-01,14.953,1.184,Algeria
1884-03-01,16.833,1.115,Algeria
1884-04-01,21.385,1.126,Algeria
1884-05-01,25.258,1.478,Algeria
1884-06-01,28.697,1.315,Algeria
1884-07-01,32.8,1.445,Algeria
1884-08-01,33.018,1.49,Algeria
1884-09-01,29.101,1.292,Algeria
1884-10-01,22.509,1.229,Algeria
1884-11-01,17.157,1.144,Algeria
1884-12-01,12.064,1.558,Algeria
1885-01-01,10.269,1.252,Algeria
1885-02-01,15.408,1.252,Algeria
1885-03-01,18.033,1.413,Algeria
1885-04-01,20.427,1.462,Algeria
1885-05-01,27.052,1.432,Algeria
1885-06-01,29.942,1.435,Algeria
1885-07-01,32.676,1.411,Algeria
1885-08-01,32.965,1.442,Algeria
1885-09-01,28.543,1.424,Algeria
1885-10-01,22.11,1.141,Algeria
1885-11-01,16.484,1.211,Algeria
1885-12-01,12.566,1.301,Algeria
1886-01-01,10.223,1.233,Algeria
1886-02-01,12.861,1.133,Algeria
1886-03-01,18.609,1.067,Algeria
1886-04-01,21.744,1.029,Algeria
1886-05-01,26.451,1.027,Algeria
1886-06-01,30.535,1.15,Algeria
1886-07-01,33.555,1.234,Algeria
1886-08-01,31.814,1.162,Algeria
1886-09-01,28.363,1.096,Algeria
1886-10-01,23.812,1.232,Algeria
1886-11-01,16.861,1.142,Algeria
1886-12-01,12.436,1.576,Algeria
1887-01-01,10.898,1.576,Algeria
1887-02-01,13.393,1.732,Algeria
1887-03-01,18.556,1.076,Algeria
1887-04-01,20.897,1.158,Algeria
1887-05-01,27.601,1.127,Algeria
1887-06-01,30.822,1.143,Algeria
1887-07-01,33.243,1.216,Algeria
1887-08-01,32.609,1.253,Algeria
1887-09-01,29.673,1.041,Algeria
1887-10-01,22.714,1.233,Algeria
1887-11-01,17.952,1.333,Algeria
1887-12-01,13.207,1.093,Algeria
1888-01-01,11.973,1.294,Algeria
1888-02-01,12.83,1.391,Algeria
1888-03-01,17.608,1.22,Algeria
1888-04-01,23.005,1.021,Algeria
1888-05-01,26.266,0.949,Algeria
1888-06-01,30.648,0.937,Algeria
1888-07-01,33.512,1.232,Algeria
1888-08-01,31.146,1.162,Algeria
1888-09-01,29.189,0.873,Algeria
1888-10-01,23.405,0.952,Algeria
1888-11-01,17.55,0.878,Algeria
1888-12-01,12.982,1.256,Algeria
1889-01-01,10.619,0.988,Algeria
1889-02-01,14.326,0.911,Algeria
1889-03-01,16.908,1.03,Algeria
1889-04-01,21.523,0.925,Algeria
1889-05-01,26.656,0.973,Algeria
1889-06-01,30.74,0.953,Algeria
1889-07-01,33.372,1.265,Algeria
1889-08-01,33.043,1.159,Algeria
1889-09-01,29.094,1.11,Algeria
1889-10-01,23.963,1.185,Algeria
1889-11-01,16.648,0.991,Algeria
1889-12-01,11.294,1.073,Algeria
1890-01-01,11.499,0.872,Algeria
1890-02-01,13.627,1.054,Algeria
1890-03-01,16.347,1.365,Algeria
1890-04-01,21.133,1.181,Algeria
1890-05-01,26.335,1.001,Algeria
1890-06-01,30.107,0.957,Algeria
1890-07-01,33.851,1.085,Algeria
1890-08-01,32.755,0.892,Algeria
1890-09-01,27.842,1.198,Algeria
1890-10-01,22.505,0.969,Algeria
1890-11-01,15.79,0.884,Algeria
1890-12-01,11.226,1.186,Algeria
1891-01-01,9.708,0.844,Algeria
1891-02-01,12.11,0.873,Algeria
1891-03-01,17.466,0.88,Algeria
1891-04-01,22.436,0.949,Algeria
1891-05-01,26.02,0.794,Algeria
1891-06-01,30.477,0.877,Algeria
1891-07-01,33.714,0.794,Algeria
1891-08-01,31.978,0.805,Algeria
1891-09-01,29.364,0.873,Algeria
1891-10-01,23.707,0.815,Algeria
1891-11-01,17.379,0.806,Algeria
1891-12-01,12.593,0.967,Algeria
1892-01-01,12.064,0.84,Algeria
1892-02-01,14.923,0.793,Algeria
1892-03-01,19.599,0.954,Algeria
1892-04-01,21.463,0.823,Algeria
1892-05-01,25.807,0.715,Algeria
1892-06-01,31.87,1.061,Algeria
1892-07-01,33.4,0.73,Algeria
1892-08-01,32.536,0.706,Algeria
1892-09-01,28.816,0.691,Algeria
1892-10-01,24.162,0.891,Algeria
1892-11-01,17.01,1.008,Algeria
1892-12-01,12.677,1.206,Algeria
1893-01-01,11.159,0.847,Algeria
1893-02-01,13.742,0.722,Algeria
1893-03-01,19.159,0.794,Algeria
1893-04-01,22.299,0.776,Algeria
1893-05-01,28.142,0.998,Algeria
1893-06-01,31.101,0.941,Algeria
1893-07-01,33.888,0.807,Algeria
1893-08-01,32.496,0.951,Algeria
1893-09-01,30.782,0.722,Algeria
1893-10-01,24.421,0.8,Algeria
1893-11-01,17.976,0.901,Algeria
1893-12-01,11.886,1.136,Algeria
1894-01-01,11.304,0.841,Algeria
1894-02-01,13.729,0.875,Algeria
1894-03-01,18.178,0.91,Algeria
1894-04-01,21.709,0.799,Algeria
1894-05-01,26.626,0.901,Algeria
1894-06-01,30.599,0.782,Algeria
1894-07-01,33.032,0.837,Algeria
1894-08-01,32.05,0.725,Algeria
1894-09-01,29.741,0.854,Algeria
1894-10-01,25.082,0.756,Algeria
1894-11-01,17.706,1.075,Algeria
1894-12-01,12.226,0.931,Algeria
1895-01-01,11.342,1.055,Algeria
1895-02-01,16.858,1.055,Algeria
1895-03-01,18.052,0.779,Algeria
1895-04-01,24.514,0.878,Algeria
1895-05-01,26.351,0.838,Algeria
1895-06-01,30.332,0.861,Algeria
1895-07-01,33.814,0.767,Algeria
1895-08-01,32.526,0.927,Algeria
1895-09-01,29.13,0.837,Algeria
1895-10-01,25.785,0.808,Algeria
1895-11-01,19.698,0.818,Algeria
1895-12-01,13.764,0.823,Algeria
1896-01-01,11.789,0.741,Algeria
1896-02-01,14.147,0.753,Algeria
1896-03-01,17.501,0.956,Algeria
1896-04-01,20.751,0.859,Algeria
1896-05-01,25.137,0.853,Algeria
1896-06-01,30.946,0.798,Algeria
1896-07-01,33.482,0.802,Algeria
1896-08-01,31.639,0.918,Algeria
1896-09-01,30.111,0.93,Algeria
1896-10-01,22.978,1.047,Algeria
1896-11-01,15.54,0.873,Algeria
1896-12-01,12.378,0.911,Algeria
1897-01-01,11.63,1.043,Algeria
1897-02-01,13.856,0.986,Algeria
1897-03-01,19.176,0.707,Algeria
1897-04-01,22.938,0.81,Algeria
1897-05-01,27.852,1.318,Algeria
1897-06-01,31.595,1.084,Algeria
1897-07-01,33.925,0.827,Algeria
1897-08-01,33.906,1.04,Algeria
1897-09-01,29.277,0.829,Algeria
1897-10-01,24.248,0.761,Algeria
1897-11-01,17.777,1.42,Algeria
1897-12-01,12.299,1.129,Algeria
1898-01-01,12.138,1.023,Algeria
1898-02-01,13.506,1.052,Algeria
1898-03-01,17.937,0.967,Algeria
1898-04-01,22.048,0.967,Algeria
1898-05-01,27.316,0.709,Algeria
1898-06-01,32.423,0.649,Algeria
1898-07-01,33.824,0.764,Algeria
1898-08-01,32.655,0.773,Algeria
1898-09-01,29.079,0.797,Algeria
1898-10-01,23.596,0.73,Algeria
1898-11-01,17.647,0.8,Algeria
1898-12-01,11.727,1.051,Algeria
1899-01-01,11.825,0.764,Algeria
1899-02-01,15.407,0.646,Algeria
1899-03-01,17.766,0.739,Algeria
1899-04-01,23.735,0.795,Algeria
1899-05-01,28.557,0.964,Algeria
1899-06-01,30.383,0.827,Algeria
1899-07-01,33.29,0.733,Algeria
1899-08-01,32.91,1.016,Algeria
1899-09-01,30.393,0.679,Algeria
1899-10-01,25.716,0.843,Algeria
1899-11-01,18.016,1.014,Algeria
1899-12-01,12.556,0.705,Algeria
1/1/1900,10.869,0.728,Algeria
2/1/1900,16.945,0.93,Algeria
3/1/1900,18.927,1.003,Algeria
4/1/1900,22.076,0.791,Algeria
5/1/1900,26.767,0.664,Algeria
6/1/1900,30.647,0.866,Algeria
7/1/1900,32.442,0.756,Algeria
8/1/1900,32.55,0.812,Algeria
9/1/1900,29.688,0.785,Algeria
10/1/1900,24.62,0.89,Algeria
11/1/1900,16.475,0.901,Algeria
12/1/1900,12.364,0.794,Algeria
1/1/1901,11.596,1.152,Algeria
2/1/1901,14.399,1.141,Algeria
3/1/1901,18.257,0.781,Algeria
4/1/1901,23.595,0.786,Algeria
5/1/1901,26.264,0.781,Algeria
6/1/1901,31.74,0.765,Algeria
7/1/1901,33.401,0.944,Algeria
8/1/1901,32.676,0.813,Algeria
9/1/1901,29.427,0.862,Algeria
10/1/1901,22.279,0.89,Algeria
11/1/1901,17.407,0.935,Algeria
12/1/1901,11.676,0.946,Algeria
1/1/1902,11.26,1.419,Algeria
2/1/1902,15.897,0.772,Algeria
3/1/1902,18.699,0.847,Algeria
4/1/1902,24.347,1.31,Algeria
5/1/1902,26.265,0.913,Algeria
6/1/1902,31.637,1.428,Algeria
7/1/1902,34.276,0.971,Algeria
8/1/1902,33.537,1.233,Algeria
9/1/1902,29.593,1.055,Algeria
10/1/1902,22.37,0.732,Algeria
11/1/1902,16.977,0.738,Algeria
12/1/1902,11.771,0.907,Algeria
1/1/1903,12.596,0.588,Algeria
2/1/1903,13.976,0.855,Algeria
3/1/1903,18.875,0.754,Algeria
4/1/1903,22.427,0.576,Algeria
