dt,AverageTemperature,AverageTemperatureUncertainty,Country
1800-08-01,32.794,2.044,Algeria
1800-09-01,28.647,2.353,Algeria
1800-10-01,24.642,1.938,Algeria
1800-11-01,17.7,1.663,Algeria
1800-12-01,13.283,2.255,Algeria
1801-01-01,12.523,1.609,Algeria
1801-02-01,14.582,1.51,Algeria
1801-03-01,19.813,1.761,Algeria
1801-04-01,22.557,2.038,Algeria
1801-05-01,28.169,1.968,Algeria
1801-06-01,31.283,2.124,Algeria
1801-07-01,34.37,2.163,Algeria
1801-08-01,32.052,2.031,Algeria
1801-09-01,28.968,1.938,Algeria
1801-10-01,23.811,1.92,Algeria
1801-11-01,17.839,1.93,Algeria
1801-12-01,13.857,3.004,Algeria
1802-01-01,12.632,2.158,Algeria
1802-02-01,14.486,1.999,Algeria
1802-03-01,19.279,2.22,Algeria
1802-04-01,22.37,2.117,Algeria
1802-05-01,26.829,2.119,Algeria
1802-06-01,33.522,1.892,Algeria
1802-07-01,34.146,1.932,Algeria
1802-08-01,33.55,1.839,Algeria
1802-09-01,29.744,2.413,Algeria
1802-10-01,24.479,2.345,Algeria
1802-11-01,17.877,2.211,Algeria
1802-12-01,12.839,2.005,Algeria
1803-01-01,11.839,2.994,Algeria
1803-02-01,12.082,1.956,Algeria
1803-03-01,,,Algeria
1803-04-01,23.892,2.132,Algeria
1803-05-01,27.632,1.973,Algeria
1803-06-01,32.455,1.909,Algeria
1803-07-01,34.446,2.039,Algeria
1803-08-01,34.527,2.18,Algeria
1803-09-01,30.342,1.852,Algeria
1803-10-01,23.753,2.467,Algeria
1803-11-01,17.912,2.348,Algeria
1803-12-01,12.04,2.308,Algeria
1804-01-01,11.956,2.568,Algeria
1804-02-01,13.108,2.292,Algeria
1804-03-01,18.259,2.186,Algeria
1804-04-01,24.219,2.188,Algeria
1804-05-01,28.177,1.679,Algeria
1804-06-01,32.979,1.781,Algeria
1804-07-01,35.148,2.643,Algeria
1804-08-01,33.574,2.261,Algeria
1804-09-01,29.613,2.913,Algeria
1804-10-01,23.793,2.05,Algeria
1804-11-01,18.936,2.888,Algeria
1804-12-01,12.781,2.458,Algeria
1805-01-01,12.865,1.999,Algeria
1805-02-01,14.246,1.944,Algeria
1805-03-01,18.557,1.622,Algeria
1805-04-01,21.887,2.436,Algeria
1805-05-01,26.978,1.534,Algeria
1805-06-01,32.493,1.735,Algeria
1805-07-01,33.746,2.087,Algeria
1805-08-01,34.272,2.149,Algeria
1805-09-01,29.483,2.036,Algeria
1805-10-01,23.161,1.546,Algeria
1805-11-01,16.534,2.353,Algeria
1805-12-01,12.305,1.695,Algeria
1806-01-01,11.322,1.837,Algeria
1806-02-01,14.249,2.996,Algeria
1806-03-01,18.224,1.858,Algeria
1806-04-01,21.945,2.142,Algeria
1806-05-01,27.149,1.645,Algeria
1806-06-01,31.188,1.748,Algeria
1806-07-01,33.969,1.742,Algeria
1806-08-01,33.721,1.959,Algeria
1806-09-01,29.4,1.881,Algeria
1806-10-01,23.386,1.526,Algeria
1806-11-01,17.119,1.874,Algeria
1806-12-01,12.829,2.158,Algeria
1807-01-01,10.586,2.066,Algeria
1807-02-01,14.242,3.754,Algeria
1807-03-01,17.829,2.503,Algeria
1807-04-01,21.293,2.101,Algeria
1807-05-01,26.143,2.014,Algeria
1807-06-01,31.924,1.601,Algeria
1807-07-01,33.718,2.89,Algeria
1807-08-01,32.753,1.88,Algeria
1807-09-01,30.918,1.514,Algeria
1807-10-01,24.172,1.663,Algeria
1807-11-01,17.407,1.81,Algeria
1807-12-01,12.92,1.783,Algeria
1808-01-01,11.704,2.132,Algeria
1808-02-01,12.506,1.876,Algeria
1808-03-01,17.61,2.735,Algeria
1808-04-01,21.484,1.71,Algeria
1808-05-01,26.243,2.76,Algeria
1808-06-01,31.703,1.805,Algeria
1808-07-01,34.574,1.453,Algeria
1808-08-01,32.06,1.983,Algeria
1808-09-01,29.944,1.978,Algeria
1808-10-01,21.764,1.732,Algeria
1808-11-01,16.314,1.896,Algeria
1808-12-01,9.775,1.764,Algeria
1809-01-01,10.645,2.705,Algeria
1809-02-01,13.387,2.653,Algeria
1809-03-01,16.631,2.006,Algeria
1809-04-01,21.115,2.652,Algeria
1809-05-01,25.566,2.637,Algeria
1809-06-01,31.303,1.471,Algeria
1809-07-01,32.39,1.681,Algeria
1809-08-01,31.996,1.817,Algeria
1809-09-01,28.02,2.103,Algeria
1809-10-01,23.257,3.595,Algeria
1809-11-01,15.138,1.913,Algeria
1809-12-01,11.462,2.794,Algeria
1810-01-01,10.336,4.471,Algeria
1810-02-01,13.718,3.742,Algeria
1810-03-01,19.461,2.332,Algeria
1810-04-01,21.799,2.835,Algeria
1810-05-01,25.74,2.593,Algeria
1810-06-01,30.205,2.606,Algeria
1810-07-01,31.414,2.652,Algeria
1810-08-01,31.583,2.37,Algeria
1810-09-01,27.27,2.05,Algeria
1810-10-01,21.638,3.463,Algeria
1810-11-01,15.113,2.516,Algeria
1810-12-01,11.602,2.065,Algeria
1811-01-01,11.949,2.752,Algeria
1811-02-01,13.501,3.52,Algeria
1811-03-01,17.912,1.955,Algeria
1811-04-01,21.015,1.829,Algeria
